AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2021;1886;4;COLEGIO MANUEL BULNES PRIETO;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;22;17;39;0;146;124;270;0;0;0;0;0;0;0;0;47;51;98;0;0;0;0;0;0;0;0;0;215;192;0;407;2;9;0;0;4;0;0;0;15;0;0;0
2021;1887;2;ESCUELA GUARDIAMARINA GUILLERMO ZANARTU I.;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;31;33;64;0;223;204;427;0;0;0;0;0;0;0;0;126;101;227;0;0;0;0;0;0;0;0;0;380;338;0;718;3;16;0;0;8;0;0;0;27;0;0;0
2021;1888;0;ESC.CDTE. ELEUTERIO RAMIREZ MOLINA;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;15;10;25;0;135;83;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;93;0;243;0;8;0;0;0;0;0;0;8;1;0;1
2021;1889;9;COLEGIO FERNANDO DURAN VILLARREAL;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;12;8;20;0;139;88;227;0;0;0;0;0;0;0;0;49;36;85;0;0;0;0;0;0;0;0;0;200;132;0;332;0;8;0;0;4;0;0;0;12;1;0;1
2021;1890;2;COLEGIO JOSE MIGUEL INFANTE;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;22;11;33;0;97;74;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;85;0;204;2;8;0;0;0;0;0;0;10;0;0;0
2021;1891;0;ESCUELA BASICA JORGE ROCK LARA;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;18;13;31;0;97;98;195;0;0;0;0;0;0;0;0;38;20;58;0;0;0;0;0;0;0;0;0;153;131;0;284;2;8;0;0;4;0;0;0;14;0;0;0
2021;1892;9;ESCUELA BASICA GASPAR CABRALES;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;13;4;17;0;76;68;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;72;0;161;2;8;0;0;0;0;0;0;10;0;0;0
2021;1893;7;ESCUELA BASICA DARIO SALAS;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;15;7;22;0;119;73;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;80;0;214;2;8;0;0;0;0;0;0;10;0;0;0
2021;1894;5;CENTRO DE EDUCACION DE ADULTOS;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;0;0;0;0;0;0;0;17;18;35;0;0;0;0;0;0;0;0;114;137;251;0;0;0;67;85;152;198;240;0;438;0;0;1;0;0;6;0;10;17;0;0;0
2021;1895;3;LICEO TECNICO PROFESIONAL MANNHEIM;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;7;12;19;0;71;46;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;28;163;0;0;0;213;86;0;299;0;8;0;0;0;0;10;0;18;1;0;1
