AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;N_ASIS;N_HOMBRES;N_MUJERES;N_PROF;N_PARA;N_AUX;N_ADMIN;N_TEC;N_SIN_DATO;JORN_PROF;JORN_PARA;JORN_AUX;JORN_ADMIN;JORN_TEC;JORN_SIN_DATO;TOT_JORN
2021;18037;8;LICEO RALCO;8;BBIO;83;8314;ALTO BIOBÍO;82;BIOBÍO;2;1;1;1;19;7;12;2;8;6;3;0;0;56;352;242;132;0;0;782
2021;18038;6;ESCUELA DIFERENCIAL RAYITO DE SOL;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;3;2;0;1;12;1;11;6;2;4;0;0;0;83;88;176;0;0;0;347
2021;18039;4;JARDÍN INFANTIL Y ESCUELA ESPECIAL DE LENGUAJE MAISON DE L´ENFANCE;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;1;5;1;4;4;0;1;0;0;0;86;0;44;0;0;0;130
2021;18040;8;ESCUELA DE LENGUAJE Y JARDÍN INFANTIL PORVENIR;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;1;9;2;7;4;5;0;0;0;0;89;198;0;0;0;0;287
2021;18041;6;ESCUELA DE LENGUAJE LICARAYEN;8;BBIO;81;8108;SAN PEDRO DE LA PAZ;83;CONCEPCIÓN;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;18042;4;COLEGIO WENGA CORONEL;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;3;2;0;1;46;9;37;23;6;15;0;2;0;778;245;602;0;88;0;1713
2021;18043;2;ESCUELA DE LENGUAJE LOMAS COLORADAS;8;BBIO;81;8108;SAN PEDRO DE LA PAZ;83;CONCEPCIÓN;3;2;0;1;6;0;6;0;5;0;1;0;0;0;121;0;30;0;0;151
2021;18044;0;ESCUELA DE LENGUAJE Y JARDÍN INFANTIL TITIRIMUNDI;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;1;3;2;1;2;0;1;0;0;0;44;0;45;0;0;0;89
2021;18045;9;CENTRO DE CAPACITACIÓN LABORAL BERNARDO O`HIGGINS;16;NUBLE;161;16103;CHILLÁN VIEJO;81;ÑUBLE;3;2;0;1;15;6;9;1;13;0;1;0;0;8;332;0;45;0;0;385
2021;18046;7;JARDÍN INFANTIL HADA CAMPANITA;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;18047;5;ESCUELA DIFERENCIAL BAO BAB;8;BBIO;81;8112;HUALPÉN;83;CONCEPCIÓN;3;2;0;1;10;2;8;4;4;1;1;0;0;63;176;44;44;0;0;327
