RBD,NOM_RBD,DOCENTES
527,COLEGIO HEROES DE LA CONCEPCION,35
528,ESCUELA GERMAN RIESCO,27
529,COLEGIO MANUEL RODRIGUEZ,25
530,COLEGIO GABRIEL GONZALEZ VIDELA,45
531,COLEGIO PEDRO AGUIRRE CERDA,29
532,CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO,27
533,COLEGIO DARIO SALAS,11
534,COLEGIO VILLA SAN BARTOLOME,33
535,COLEGIO JOSE MIGUEL CARRERA,29
536,COLEGIO BERNARDA MORIN,27
537,COLEGIO LUIS BRAILLE,15
539,COLEGIO DE ALGARROBITO,18
540,ESCUELA DE ISLON,15
542,ESCUELA DE LAMBERT,21
543,COLEGIO ALTOVALSOL,14
544,ESCUELA DE EL MILAGRO,16
546,COLEGIO COQUIMBITO,12
548,ESCUELA DE COLONIA ALFALFARES,13
549,ESCUELA DE LOS CORRALES,2
550,ESCUELA DE ALMIRANTE LATORRE,1
551,ESCUELA DE LAS ROJAS,14
552,ESCUELA DE CHACAY ALTO,1
554,ESCUELA DE PELICANA,1
556,ESCUELA DE ROMERO,21
557,ESCUELA DE SATURNO,17
558,COLEGIO PUNTA DE TEATINOS,4
560,COLEGIO QUEBRADA DE TALCA,15
561,COLEGIO EL ROMERAL,4
562,COLEGIO CALETA SAN PEDRO,17
564,COLEGIO LA ESTRELLA,1
565,COLEGIO ADVENTISTA LA SERENA,43
566,COLEGIO ISABEL RIQUELME,21
567,COLEGIO SAN FRANCISCO COLL,56
568,COLEGIO SAN ANTONIO,17
570,COLEGIO ELENA BETTINI,22
571,ESC.ESPEC.LOS PENSAMIENTOS DE JUAN XXIII,7
573,ESCUELA PARTICULAR TERESA VIDELA DE G,19
574,ESCUELA INDUSTRIAL SALESIANA SAN RAMON,38
575,COLEGIO PROVIDENCIA,29
578,LICEO IGNACIO CARRERA PINTO,24
579,COLEGIO SEMINARIO CONCILIAR,39
580,COLEGIO GERONIMO RENDIC,26
581,ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN,26
583,COLEGIO SAGRADOS CORAZONES,50
585,COLEGIO THE INTERNATIONAL SCHOOL,46
589,COLEGIO SANTO DOMINGO,10
590,COLEGIO PARTICULAR SAN JOSE,18
591,COLEGIO INGLES CATOLICO,29
